Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963,591,464,461,605,586,526,665,570,590,567,579,514
1964,549,609,562,559,523,580,575,582,590,583,548,540
1965,533,559,556,555,544,614,554,615,587,555,616,609
1966,599,541,557,545,499,434,435,377,358,387,382,369
1967,416,408,439,479,503,499,515,504,531,566,500,502
1968,494,543,490,501,441,441,493,507,501,502,469,511
1969,480,524,474,450,447,461,436,422,396,401,441,452
1970,461,373,389,445,466,485,481,515,564,545,570,582
1971,618,618,681,662,618,646,706,659,625,647,710,689
1972,698,711,640,684,677,687,681,773,767,843,735,772
1973,781,737,725,661,660,650,601,566,561,565,547,519
1974,523,539,572,544,590,534,534,492,511,448,450,417
1975,416,422,477,543,579,557,569,566,556,609,680,669
1976,603,644,591,611,570,591,664,648,696,708,735,767
1977,825,839,872,799,807,805,755,808,842,819,829,835
1978,795,791,814,864,857,834,789,756,812,872,798,805
1979,754,723,793,748,727,700,715,729,727,670,597,559
1980,592,541,474,370,469,552,636,659,596,561,562,532
1981,511,510,514,470,467,415,431,378,338,356,382,457
1982,368,365,374,339,384,370,375,407,481,480,554,521
1983,582,562,596,638,664,651,606,572,608,632,644,773
1984,691,696,641,639,615,630,619,567,662,687,597,597
1985,645,682,671,620,678,722,766,726,678,655,733,721
1986,733,728,880,857,789,728,698,621,763,669,707,784
1987,709,732,713,735,651,637,658,657,666,650,625,595
1988,585,663,669,699,684,717,679,688,703,718,628,658
1989,719,622,567,608,656,642,731,697,639,645,684,630
1990,620,591,574,542,534,545,542,528,496,465,493,464
1991,401,482,507,508,517,516,511,526,487,524,575,558
1992,676,639,553,546,554,596,627,636,650,621,614,650
1993,596,604,602,701,626,653,655,645,726,704,769,812
1994,619,686,747,692,691,621,628,656,677,715,646,629
1995,626,559,616,621,674,725,765,701,678,696,664,709
1996,714,769,721,736,746,721,770,826,770,720,771,805
1997,830,801,831,744,760,793,805,815,840,800,864,793
1998,872,866,836,866,887,923,876,846,864,893,995,949
1999,875,848,863,918,888,923,900,893,826,872,863,873
2000,873,856,900,841,857,793,887,848,912,933,880,983
2001,936,963,939,909,885,882,880,866,853,871,924,979
2002,880,948,923,936,978,957,956,"1,014","1,044","1,006","1,024","1,048"
2003,999,936,999,"1,012","1,078","1,193","1,168","1,206","1,131","1,144","1,093","1,129"
2004,"1,165","1,159","1,276","1,186","1,241","1,180","1,088","1,175","1,214","1,305","1,179","1,242"
2005,"1,203","1,319","1,328","1,260","1,286","1,274","1,389","1,255","1,244","1,336","1,214","1,239"
2006,"1,174","1,061","1,116","1,123","1,086","1,074",965,"1,035","1,016",941,"1,003",998
2007,891,828,833,887,842,793,778,699,686,727,641,619
2008,627,593,535,536,504,487,477,435,433,393,389,377
2009,336,372,339,337,376,393,411,418,386,396,375,352
2010,345,336,381,422,280,305,283,282,317,291,287,326
2011,307,270,300,310,305,301,296,299,304,316,328,341
2012,335,366,354,354,370,360,369,375,385,358,392,399
2013,446,447,444,441,428,470,375,381,403,444,446,433
2014,443,420,405,403,451,418,402,456,470,476,442,497
2015,515,540,480,502,502,480,506,518,456,482,504,546
2016,505,517,532,576,571,557,628,575,558,575,571,561
2017,573,587,632,598,635,619,572,556,637,626,711,630
2018,590,618,679,642,662,636,628,593,595,554,625,546
2019,595,648,718,702,618,729,648,712,712,722,713,700
2020,690,707,621,579,709,896,983,"1,022",979,"1,031",877,878
2021,896,774,861,837,726,689,727,691,731,683,787,834
2022,798,781,713,636,648,543,519,644,556,577,596,632
2023,639,625,644,687,741,666,700,652,694,673,611,654
2024,664,643,683,736,672,672,726,709,738,NA,NA,NA
